date,season,season_year,venue,is_home,opponent,batter,batting_pos,runs,balls_faced,strike_rate,fours,sixes,dots,boundary_pct,dot_pct,runs_powerplay,runs_middle,runs_death,dismissal_kind,was_dismissed,avg_runs_last5,avg_sr_last5,mi_won,performance
2018-04-14,2018,2018,Wankhede Stadium,1,Delhi Daredevils,A Dananjaya,8,4,5,80.0,0,0,2,0.0,40.0,0,0,4,0,0,0.0,0.0,False,low
2024-05-11,2024,2024,"Eden Gardens, Kolkata",0,Kolkata Knight Riders,A Kamboj,9,2,2,100.0,0,0,0,0.0,0.0,0,0,2,0,0,0.0,0.0,False,low
2008-04-23,2007/08,2007,"MA Chidambaram Stadium, Chepauk",0,Chennai Super Kings,A Nehra,9,1,2,50.0,0,0,1,0.0,50.0,0,0,1,0,0,0.0,0.0,False,low
2008-04-25,2007/08,2007,"Punjab Cricket Association Stadium, Mohali",0,Kings XI Punjab,A Nehra,11,2,10,20.0,0,0,8,0.0,80.0,0,0,2,0,0,1.0,50.0,False,low
2008-05-21,2007/08,2007,Wankhede Stadium,1,Kings XI Punjab,A Nehra,9,0,1,0.0,0,0,1,0.0,100.0,0,0,0,0,0,1.5,35.0,False,low
2011-04-20,2011,2011,Wankhede Stadium,1,Pune Warriors,A Symonds,5,16,15,106.67,2,0,5,13.33,33.33,0,0,16,0,0,0.0,0.0,True,low
2011-04-22,2011,2011,Wankhede Stadium,1,Chennai Super Kings,A Symonds,5,31,26,119.23,1,2,10,11.54,38.46,0,11,20,0,0,16.0,106.67,True,medium
2011-04-24,2011,2011,"Rajiv Gandhi International Stadium, Uppal",0,Deccan Chargers,A Symonds,6,44,33,133.33,4,1,11,15.15,33.33,0,16,28,0,0,23.5,112.95,True,medium
2011-04-29,2011,2011,Sawai Mansingh Stadium,0,Rajasthan Royals,A Symonds,5,17,26,65.38,1,0,13,3.85,50.0,0,10,7,bowled,1,30.33,119.74,False,low
2011-05-02,2011,2011,Wankhede Stadium,1,Kings XI Punjab,A Symonds,6,4,6,66.67,0,0,2,0.0,33.33,0,0,4,0,0,27.0,106.15,True,low
2011-05-04,2011,2011,Dr DY Patil Sports Academy,0,Pune Warriors,A Symonds,7,3,3,100.0,0,0,1,0.0,33.33,0,0,3,caught,1,22.4,98.26,True,low
2011-05-07,2011,2011,Wankhede Stadium,1,Delhi Daredevils,A Symonds,6,4,4,100.0,0,0,0,0.0,0.0,0,0,4,0,0,19.8,96.92,True,low
2011-05-10,2011,2011,"Punjab Cricket Association Stadium, Mohali",0,Kings XI Punjab,A Symonds,4,8,6,133.33,1,0,3,16.67,50.0,0,8,0,0,0,14.4,93.08,False,low
2011-05-14,2011,2011,Wankhede Stadium,1,Deccan Chargers,A Symonds,5,8,19,42.11,0,0,11,0.0,57.89,1,7,0,caught,1,7.2,93.08,False,low
2011-05-04,2011,2011,Dr DY Patil Sports Academy,0,Pune Warriors,AC Blizzard,1,6,6,100.0,1,0,3,16.67,50.0,6,0,0,caught,1,0.0,0.0,True,low
2011-05-07,2011,2011,Wankhede Stadium,1,Delhi Daredevils,AC Blizzard,1,37,23,160.87,8,0,11,34.78,47.83,34,3,0,caught,1,6.0,100.0,True,medium
2011-05-10,2011,2011,"Punjab Cricket Association Stadium, Mohali",0,Kings XI Punjab,AC Blizzard,1,15,10,150.0,3,0,4,30.0,40.0,15,0,0,caught,1,21.5,130.44,False,low
2011-05-14,2011,2011,Wankhede Stadium,1,Deccan Chargers,AC Blizzard,2,1,7,14.29,0,0,6,0.0,85.71,1,0,0,bowled,1,19.33,136.96,False,low
2011-05-25,2011,2011,Wankhede Stadium,1,Kolkata Knight Riders,AC Blizzard,1,51,30,170.0,7,2,13,30.0,43.33,33,18,0,caught,1,14.75,106.29,True,high
2011-05-27,2011,2011,"MA Chidambaram Stadium, Chepauk",0,Royal Challengers Bangalore,AC Blizzard,1,10,11,90.91,2,0,7,18.18,63.64,10,0,0,caught,1,22.0,119.03,False,low
2012-04-27,2012,2012,Feroz Shah Kotla,0,Delhi Daredevils,AC Blizzard,1,0,3,0.0,0,0,3,0.0,100.0,0,0,0,caught,1,22.8,117.21,False,low
2021-09-19,2021,2021,Dubai International Cricket Stadium,0,Chennai Super Kings,AF Milne,8,15,15,100.0,0,1,6,6.67,40.0,0,1,14,caught,1,0.0,0.0,False,low
